estado,nome,data,cidade,distancias,organizador,link_corrida,link_oficial
AL,,25/01/2026,,5km,Brabos Running,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51618&1%BA%20Desafio%20Santa%20L%FAcia%20Adventure,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51618&1%BA%20Desafio%20Santa%20L%FAcia%20Adventure
AL,,25/01/2026,,10/5km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52135&1%AA%20Corrida%20Nobre%20Supermercados,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52135&1%AA%20Corrida%20Nobre%20Supermercados
AL,,01/02/2026,,21/14/7km,IAE Sports,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52610&Trail%20Run%20Carvaval,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52610&Trail%20Run%20Carvaval
AL,,01/02/2026,,10/5/3km,Ednaldo Dias,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51829&Corrida%20Sert%E3o%2040%20Graus,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51829&Corrida%20Sert%E3o%2040%20Graus
AL,,08/02/2026,,12/7km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52611&No%20Limite%20Trail%20Run%20-%20Etapa%206,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52611&No%20Limite%20Trail%20Run%20-%20Etapa%206
AL,,08/02/2026,,10/5km,Equipe Desafio 21,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52495&Desafio%2021%20nos%20Povoados%20%20-%20Edi%E7%E3o%20Terra%20Nova,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52495&Desafio%2021%20nos%20Povoados%20%20-%20Edi%E7%E3o%20Terra%20Nova
AL,,22/02/2026,,5/3km,Assessoria Corrida Urbana,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52650&2%AA%20Corrida%20JVN%20Hortifruti,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52650&2%AA%20Corrida%20JVN%20Hortifruti
AL,,01/03/2026,,10/5km,VT Podcast,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52134&1%AA%20Corrida%20VT%20Run,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52134&1%AA%20Corrida%20VT%20Run
AL,,01/03/2026,,10/5km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52651&Corrida%20do%20Minist%E9rio%20P%FAblico%202026,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52651&Corrida%20do%20Minist%E9rio%20P%FAblico%202026
AL,,01/03/2026,,10/5km,DK Eventos Esportivos,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52613&DK%20Running,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52613&DK%20Running
AL,,08/03/2026,,10/5km,Genival Batista de Freitas,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=49309&6%AA%20Corrida%20em%20Busca%20da%20Sa%FAde,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=49309&6%AA%20Corrida%20em%20Busca%20da%20Sa%FAde
AL,,22/03/2026,,10/5 Milhas,SNOC Eventos e Apoio Administrativos,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=49984&10%20Milhas%20Alagoas,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=49984&10%20Milhas%20Alagoas
AL,,29/03/2026,,10/5km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52658&1%AA%20Corrida%20Excel%EAncia,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52658&1%AA%20Corrida%20Excel%EAncia
AL,,29/03/2026,,10/5km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=45754&II%20Corrida%20Para%20Cristo,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=45754&II%20Corrida%20Para%20Cristo
AM,,11/01/2026,,21/10/5km,,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52485&10%AA%20Edi%E7%E3o%20Trail%20Run%20Extreme,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52485&10%AA%20Edi%E7%E3o%20Trail%20Run%20Extreme
AM,,25/01/2026,,8km,To Goal,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52487&Desafio%20Jungle%20Runners%202026,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52487&Desafio%20Jungle%20Runners%202026
AM,,25/01/2026,,,Jaqueline Remigio,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52486&22%AA%20Maratona%20Kids%20-%20Corrida%20de%20Obst%E1culos,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52486&22%AA%20Maratona%20Kids%20-%20Corrida%20de%20Obst%E1culos
AM,,15/03/2026,,6km,Instituto Eu Vivo Live,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52824,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52824
AM,,26/04/2026,,13/10/5km,Norte Marketing Esportivo,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52935&Circuito%20das%20Esta%E7%F5es%20-%20Outono,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52935&Circuito%20das%20Esta%E7%F5es%20-%20Outono
AM,,14/06/2026,,15/10/5km,Norte Marketing Esportivo,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52936&Circuito%20das%20Esta%E7%F5es%20-%20Inverno,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52936&Circuito%20das%20Esta%E7%F5es%20-%20Inverno
AM,,27/06/2026,,10/5km,Norte Mktg Esportivo,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=53069&Night%20Run%202026,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=53069&Night%20Run%202026
AM,,23/08/2026,,18/10/5km,Norte Marketing Esportivo,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52937&Circuito%20das%20Esta%E7%F5es%20-%20Primavera,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52937&Circuito%20das%20Esta%E7%F5es%20-%20Primavera
AM,,24/10/2026,,10/5km,MentedeCorredor,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=47968&III%20Corrida%20Sauim-de-Coleira,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=47968&III%20Corrida%20Sauim-de-Coleira
AM,,08/11/2026,,10/5km,Norte Marketing Esportivo,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52938&Circuito%20das%20Esta%E7%F5es%20-%20Ver%E3o,https://www.corridasbr.com.br/am/mostracorrida.asp?escolha=52938&Circuito%20das%20Esta%E7%F5es%20-%20Ver%E3o
AP,,04/01/2026,,11km,Associação de Esporte e Cultura de Itapé,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50976&Eco%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50976&Eco%20Run
AP,,04/01/2026,,5km,Daniel Barros,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50809&Daniel%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50809&Daniel%20Run
AP,,11/01/2026,,5km,MS Sports,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51752&Corrida%20Arqueol%F3gica,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51752&Corrida%20Arqueol%F3gica
AP,,11/01/2026,,16/8km,Loucos Por Trilha,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48790&4%BA%20Trailrun%20dos%20Loucos,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48790&4%BA%20Trailrun%20dos%20Loucos
AP,,11/01/2026,,10/5km,46ª Companhia Independente da Polícia Militar,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52056&1%AA%20Corrida%20do%2046%B0%20CIPM,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52056&1%AA%20Corrida%20do%2046%B0%20CIPM
